flight,class,RAROC,decision,probability_of_loss,risk_level,mean_revenue,revenue_std,ci_lower_95,ci_upper_95,VaR_95,CVaR_95,stress_multiplier,stressed_raroc,survival,board_decision,frequency_change,pricing_action,fleet_action,status
FL-1002,economy,1.204147532496945,MAINTAIN,0.0,SAFE,22371.23300506084,451.7734612061643,21405.82139758512,23146.042323254755,21542.180896797214,21372.931954583804,0.85,1.0235254026224032,SURVIVES,MAINTAIN,0%,HOLD,NO CHANGE,ACTIVE
FL-1010,business,1.2030597296769483,MAINTAIN,0.0,SAFE,19607.057761176915,721.8700305396646,17973.97607183255,20681.68506135263,18169.1459110998,17877.16391952386,0.85,1.022600770225406,SURVIVES,MAINTAIN,0%,HOLD,NO CHANGE,ACTIVE
FL-1008,business,1.1996115679059107,EXIT,0.0,SAFE,19671.255285657066,700.2063770965002,17945.990013206465,20629.018617115435,18188.75005396786,17892.82486024166,0.85,1.019669832720024,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1006,business,1.1907224702954105,EXIT,0.0001,SAFE,19628.396535172327,770.4206698199878,17860.325548904148,20769.70187210301,18048.061546910893,17746.656154055403,0.85,1.012114099751099,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1009,first,1.1902988272037476,EXIT,0.0551,WARNING,14303.730451392305,1343.6045448226432,11011.717626613912,16242.194427268018,11485.368081517188,10949.03702789478,0.85,1.0117540031231853,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1003,business,1.187894712586933,EXIT,0.0001,SAFE,19579.56509582772,777.5687867310114,17762.710164147356,20632.391575499463,18018.801908959293,17725.542758546384,0.85,1.009710505698893,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1009,economy,1.18576894046506,EXIT,0.0,SAFE,22358.005032000223,439.24833686841066,21369.04418582798,23073.71142195805,21502.744328236724,21343.863453477177,0.85,1.007903599395301,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1002,business,1.182074323526413,EXIT,0.0001,SAFE,19604.88862372328,777.1489296499557,17878.558842539245,20709.256027978623,18041.9658465911,17757.397739220738,0.85,1.004763174997451,SURVIVES,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1004,business,1.1489086305161895,EXIT,0.0001,SAFE,19609.376424101843,804.2285167642327,17713.82999429111,20756.03623290858,17869.37467261272,17610.273394702705,0.85,0.976572335938761,FAILS,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
FL-1009,business,1.1269505234394892,EXIT,0.0001,SAFE,19522.4124644692,803.1399523636028,17741.85767440665,20719.518926848104,17898.419586489137,17692.252840567566,0.85,0.9579079449235658,FAILS,RESTRUCTURE,-20%,DISCOUNT,DOWNGAUGE,ACTIVE
